#,Table,Temp_C,Intensity_Lux,Date,Time,Date_Time
56,2,30.054,2152.8,19/02/2022,15:14,19/02/2022 15:14
57,2,30.154,1722.2,19/02/2022,16:14,19/02/2022 16:14
58,2,29.953,1097.9,19/02/2022,17:14,19/02/2022 17:14
59,2,29.652,290.6,19/02/2022,18:14,19/02/2022 18:14
60,2,29.552,0,19/02/2022,19:14,19/02/2022 19:14
61,2,29.452,0,19/02/2022,20:14,19/02/2022 20:14
62,2,29.452,0,19/02/2022,21:14,19/02/2022 21:14
63,2,29.452,0,19/02/2022,22:14,19/02/2022 22:14
64,2,29.352,0,19/02/2022,23:14,19/02/2022 23:14
65,2,29.352,0,20/02/2022,0:14,20/02/2022 0:14
66,2,29.352,0,20/02/2022,1:14,20/02/2022 1:14
67,2,29.352,0,20/02/2022,2:14,20/02/2022 2:14
68,2,29.352,0,20/02/2022,3:14,20/02/2022 3:14
69,2,29.352,0,20/02/2022,4:14,20/02/2022 4:14
70,2,29.352,0,20/02/2022,5:14,20/02/2022 5:14
71,2,29.352,32.3,20/02/2022,6:14,20/02/2022 6:14
72,2,29.452,742.7,20/02/2022,7:14,20/02/2022 7:14
73,2,29.452,1808.3,20/02/2022,8:14,20/02/2022 8:14
74,2,29.452,1550,20/02/2022,9:14,20/02/2022 9:14
75,2,29.752,3616.7,20/02/2022,10:14,20/02/2022 10:14
76,2,29.853,3616.7,20/02/2022,11:14,20/02/2022 11:14
77,2,30.154,2755.6,20/02/2022,12:14,20/02/2022 12:14
78,2,30.255,2927.8,20/02/2022,13:14,20/02/2022 13:14
79,2,30.356,2927.8,20/02/2022,14:14,20/02/2022 14:14
80,2,29.853,1463.9,20/02/2022,15:14,20/02/2022 15:14
81,2,29.853,936.5,20/02/2022,16:14,20/02/2022 16:14
82,2,29.953,871.9,20/02/2022,17:14,20/02/2022 17:14
83,2,29.552,204.5,20/02/2022,18:14,20/02/2022 18:14
84,2,29.452,0,20/02/2022,19:14,20/02/2022 19:14
85,2,29.452,0,20/02/2022,20:14,20/02/2022 20:14
86,2,29.452,0,20/02/2022,21:14,20/02/2022 21:14
87,2,29.452,0,20/02/2022,22:14,20/02/2022 22:14
88,2,29.452,0,20/02/2022,23:14,20/02/2022 23:14
89,2,29.452,0,21/02/2022,0:14,21/02/2022 0:14
90,2,29.352,0,21/02/2022,1:14,21/02/2022 1:14
91,2,29.352,0,21/02/2022,2:14,21/02/2022 2:14
92,2,29.352,0,21/02/2022,3:14,21/02/2022 3:14
93,2,29.352,0,21/02/2022,4:14,21/02/2022 4:14
94,2,29.352,0,21/02/2022,5:14,21/02/2022 5:14
95,2,29.252,32.3,21/02/2022,6:14,21/02/2022 6:14
96,2,29.452,581.3,21/02/2022,7:14,21/02/2022 7:14
97,2,29.452,925.7,21/02/2022,8:14,21/02/2022 8:14
98,2,29.552,947.2,21/02/2022,9:14,21/02/2022 9:14
99,2,29.752,4305.6,21/02/2022,10:14,21/02/2022 10:14
100,2,29.953,1980.6,21/02/2022,11:14,21/02/2022 11:14
101,2,29.853,1550,21/02/2022,12:14,21/02/2022 12:14
102,2,30.255,2497.2,21/02/2022,13:14,21/02/2022 13:14
103,2,30.356,2066.7,21/02/2022,14:14,21/02/2022 14:14
104,2,30.457,1808.3,21/02/2022,15:14,21/02/2022 15:14
105,2,30.255,1377.8,21/02/2022,16:14,21/02/2022 16:14
106,2,29.953,882.6,21/02/2022,17:14,21/02/2022 17:14
107,2,29.752,247.6,21/02/2022,18:14,21/02/2022 18:14
108,2,29.652,0,21/02/2022,19:14,21/02/2022 19:14
109,2,29.752,0,21/02/2022,20:14,21/02/2022 20:14
110,2,29.552,0,21/02/2022,21:14,21/02/2022 21:14
111,2,29.652,0,21/02/2022,22:14,21/02/2022 22:14
112,2,29.652,0,21/02/2022,23:14,21/02/2022 23:14
113,2,29.652,0,22/02/2022,0:14,22/02/2022 0:14
114,2,29.652,0,22/02/2022,1:14,22/02/2022 1:14
115,2,29.652,0,22/02/2022,2:14,22/02/2022 2:14
116,2,29.552,0,22/02/2022,3:14,22/02/2022 3:14
117,2,29.552,0,22/02/2022,4:14,22/02/2022 4:14
118,2,29.552,0,22/02/2022,5:14,22/02/2022 5:14
119,2,29.552,21.5,22/02/2022,6:14,22/02/2022 6:14
120,2,29.652,1216.3,22/02/2022,7:14,22/02/2022 7:14
121,2,29.853,3100,22/02/2022,8:14,22/02/2022 8:14
122,2,29.953,3444.5,22/02/2022,9:14,22/02/2022 9:14
123,2,29.853,1808.3,22/02/2022,10:14,22/02/2022 10:14
124,2,29.953,1550,22/02/2022,11:14,22/02/2022 11:14
125,2,30.356,3444.5,22/02/2022,12:14,22/02/2022 12:14
126,2,30.457,2238.9,22/02/2022,13:14,22/02/2022 13:14
127,2,30.356,1808.3,22/02/2022,14:14,22/02/2022 14:14
128,2,30.76,1722.2,22/02/2022,15:14,22/02/2022 15:14
129,2,30.558,1722.2,22/02/2022,16:14,22/02/2022 16:14
130,2,30.255,904.2,22/02/2022,17:14,22/02/2022 17:14
131,2,29.953,183,22/02/2022,18:14,22/02/2022 18:14
132,2,29.853,0,22/02/2022,19:14,22/02/2022 19:14
133,2,29.853,0,22/02/2022,20:14,22/02/2022 20:14
134,2,29.853,0,22/02/2022,21:14,22/02/2022 21:14
135,2,29.752,0,22/02/2022,22:14,22/02/2022 22:14
136,2,29.752,0,22/02/2022,23:14,22/02/2022 23:14
137,2,29.752,0,23/02/2022,0:14,23/02/2022 0:14
138,2,29.752,0,23/02/2022,1:14,23/02/2022 1:14
139,2,29.752,0,23/02/2022,2:14,23/02/2022 2:14
140,2,29.752,0,23/02/2022,3:14,23/02/2022 3:14
141,2,29.752,0,23/02/2022,4:14,23/02/2022 4:14
142,2,29.652,0,23/02/2022,5:14,23/02/2022 5:14
143,2,29.752,21.5,23/02/2022,6:14,23/02/2022 6:14
144,2,29.853,882.6,23/02/2022,7:14,23/02/2022 7:14
145,2,29.953,3100,23/02/2022,8:14,23/02/2022 8:14
146,2,30.054,2669.5,23/02/2022,9:14,23/02/2022 9:14
147,2,30.154,2497.2,23/02/2022,10:14,23/02/2022 10:14
148,2,30.255,2497.2,23/02/2022,11:14,23/02/2022 11:14
149,2,30.154,1550,23/02/2022,12:14,23/02/2022 12:14
150,2,30.558,2669.5,23/02/2022,13:14,23/02/2022 13:14
151,2,30.558,2066.7,23/02/2022,14:14,23/02/2022 14:14
152,2,30.558,1550,23/02/2022,15:14,23/02/2022 15:14
153,2,30.255,807.3,23/02/2022,16:14,23/02/2022 16:14
154,2,30.154,430.6,23/02/2022,17:14,23/02/2022 17:14
155,2,30.054,215.3,23/02/2022,18:14,23/02/2022 18:14
156,2,29.953,0,23/02/2022,19:14,23/02/2022 19:14
157,2,29.953,0,23/02/2022,20:14,23/02/2022 20:14
158,2,29.953,0,23/02/2022,21:14,23/02/2022 21:14
159,2,29.953,0,23/02/2022,22:14,23/02/2022 22:14
160,2,29.853,0,23/02/2022,23:14,23/02/2022 23:14
161,2,29.853,0,24/02/2022,0:14,24/02/2022 0:14
162,2,29.853,0,24/02/2022,1:14,24/02/2022 1:14
163,2,29.853,0,24/02/2022,2:14,24/02/2022 2:14
164,2,29.953,0,24/02/2022,3:14,24/02/2022 3:14
165,2,29.953,0,24/02/2022,4:14,24/02/2022 4:14
166,2,29.853,0,24/02/2022,5:14,24/02/2022 5:14
167,2,29.853,10.8,24/02/2022,6:14,24/02/2022 6:14
168,2,29.853,409,24/02/2022,7:14,24/02/2022 7:14
169,2,30.054,958,24/02/2022,8:14,24/02/2022 8:14
170,2,30.356,4650,24/02/2022,9:14,24/02/2022 9:14
171,2,30.255,2152.8,24/02/2022,10:14,24/02/2022 10:14
172,2,30.054,1636.1,24/02/2022,11:14,24/02/2022 11:14
173,2,30.356,2325,24/02/2022,12:14,24/02/2022 12:14
174,2,30.558,2411.1,24/02/2022,13:14,24/02/2022 13:14
175,2,30.659,1894.5,24/02/2022,14:14,24/02/2022 14:14
176,2,30.659,1808.3,24/02/2022,15:14,24/02/2022 15:14
