No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,ColEnd,ColEndCor,GreyCorrectionScore,GreyCorrectionScoreDif
34,14,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2.4,85.849,85.059,172,-0.79
35,14,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2.5,111.106,110.316,172,-0.79
36,14,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A15,1,5,76,2,1.5.2.6,99.516,98.726,172,-0.79
37,15,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C1,1,5,76,3,1.5.3,NA,NA,172,-0.79
38,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.1,100.659,115.869,188,15.21
39,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.2,105.544,120.754,188,15.21
40,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.3,99.885,115.095,188,15.21
41,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.4,91.242,106.452,188,15.21
42,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.5,103.525,118.735,188,15.21
43,16,HF16,C87,Martin11xMartin13,MAxMA,Martin11,Martin13,NorthxNorth,NorthxNorth,NorthPure,K10,1,6,75,1,1.6.1.6,95.696,110.906,188,15.21
44,17,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,A1,1,6,75,2,1.6.2,NA,NA,188,15.21
45,18,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3.1,117.584,132.794,188,15.21
46,18,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3.2,113.161,128.371,188,15.21
47,18,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A2,1,6,75,3,1.6.3.3,128.311,143.521,188,15.21
48,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.1,98.863,104.073,178,5.21
49,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.2,109.272,114.482,178,5.21
50,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.3,114.4,119.61,178,5.21
51,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.4,98.426,103.636,178,5.21
52,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.5,125.075,130.285,178,5.21
53,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.6,131.191,136.401,178,5.21
54,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.7,107.617,112.827,178,5.21
55,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.8,120.566,125.776,178,5.21
56,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.9,107.01,112.22,178,5.21
57,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.10,113.805,119.015,178,5.21
58,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.11,118.169,123.379,178,5.21
59,19,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A2,1,7,79,1,1.7.1.12,153.418,158.628,178,5.21
60,20,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,J15,1,7,79,2,1.7.2.1,111.729,116.939,178,5.21
61,21,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,A3,1,7,79,3,1.7.3,NA,NA,178,5.21
62,22,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A15,1,8,100,1,1.8.1,NA,NA,177,4.21
63,23,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B15,1,8,100,2,1.8.2.1,117.023,121.233,177,4.21
64,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.1,109.534,113.744,177,4.21
65,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.2,130.317,134.527,177,4.21
66,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.3,123.994,128.204,177,4.21
67,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.4,115.473,119.683,177,4.21
68,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.5,115.235,119.445,177,4.21
69,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.6,133.592,137.802,177,4.21
70,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.7,121.659,125.869,177,4.21
71,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.8,110.516,114.726,177,4.21
72,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.9,120.343,124.553,177,4.21
73,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.10,110.315,114.525,177,4.21
74,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.11,123.741,127.951,177,4.21
75,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.12,116.477,120.687,177,4.21
76,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.13,112.129,116.339,177,4.21
77,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.14,115.5,119.71,177,4.21
78,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.15,117.906,122.116,177,4.21
79,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.16,128.482,132.692,177,4.21
80,24,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B15,1,8,100,3,1.8.3.17,127.027,131.237,177,4.21
81,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.1,127.248,141.458,187,14.21
82,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.2,107.337,121.547,187,14.21
83,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.3,100.139,114.349,187,14.21
84,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.4,117.4,131.61,187,14.21
85,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.5,122.84,137.05,187,14.21
86,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.6,115.113,129.323,187,14.21
87,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.7,118.652,132.862,187,14.21
88,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.8,117.23,131.44,187,14.21
89,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.9,122.189,136.399,187,14.21
90,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.10,112.009,126.219,187,14.21
91,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.11,124.438,138.648,187,14.21
